Participant ID,Trial,Total Pot,Individual Offer,Opponent Offer,Model Decision,Utility,Accept Probability,Expected Proportion,Variance
1001,1,12,1.2,10.8,Reject,-22.8,0.0,0.5,0.0493
1001,2,15,5.25,9.75,Reject,-2.67,0.06,0.46,0.046
1001,3,12,3.0,9.0,Reject,-8.7,0.0,0.44,0.0451
1001,8,9,4.5,4.5,Accept,4.34,0.99,0.43,0.0423
1001,9,9,2.25,6.75,Reject,-6.0,0.0,0.43,0.0415
1001,12,15,6.0,9.0,Accept,4.56,0.99,0.42,0.0389
1001,13,18,9.0,9.0,Accept,8.63,1.0,0.42,0.037
1001,15,9,2.25,6.75,Reject,-5.55,0.0,0.42,0.0365
1001,17,12,2.4,9.6,Reject,-10.35,0.0,0.41,0.0368
1001,18,18,5.4,12.6,Reject,-3.6,0.03,0.4,0.0355
1001,19,9,2.7,6.3,Reject,-1.55,0.18,0.39,0.0342
1001,20,15,5.25,9.75,Accept,2.29,0.91,0.39,0.0327
1001,21,15,1.5,13.5,Reject,-20.06,0.0,0.39,0.0347
1001,24,15,3.0,12.0,Reject,-10.04,0.0,0.37,0.0345
1001,25,9,2.7,6.3,Reject,-0.27,0.43,0.37,0.0332
1001,26,15,5.25,9.75,Reject,4.27,0.99,0.36,0.032
1001,27,6,2.4,3.6,Accept,2.34,0.91,0.36,0.0308
1001,28,9,3.6,5.4,Accept,3.52,0.97,0.36,0.0298
1001,29,9,1.8,7.2,Reject,-5.64,0.0,0.37,0.0297
1001,30,9,2.7,6.3,Accept,0.03,0.51,0.36,0.0288
1001,31,9,4.5,4.5,Accept,4.18,0.98,0.36,0.0285
1001,33,15,3.75,11.25,Reject,-4.66,0.01,0.36,0.028
1001,34,9,3.6,5.4,Accept,3.51,0.97,0.36,0.0272
1001,35,6,1.2,4.8,Reject,-3.59,0.03,0.36,0.0271
1001,36,12,4.2,7.8,Accept,3.92,0.98,0.35,0.0263
1001,37,12,4.2,7.8,Accept,3.93,0.98,0.35,0.0256
1001,38,15,6.0,9.0,Accept,5.83,1.0,0.35,0.025
1001,39,6,1.8,4.2,Reject,0.13,0.53,0.36,0.0244
1001,41,18,4.5,13.5,Reject,-4.88,0.01,0.35,0.024
1001,45,9,2.7,6.3,Accept,0.39,0.6,0.35,0.0235
1001,46,15,1.5,13.5,Reject,-17.25,0.0,0.35,0.0244
1001,47,15,5.25,9.75,Accept,5.23,0.99,0.34,0.0238
1001,48,15,3.75,11.25,Reject,-3.28,0.04,0.34,0.0235
1001,49,15,3.0,12.0,Reject,-7.61,0.0,0.34,0.0234
1001,50,12,4.8,7.2,Accept,4.61,0.99,0.34,0.023
1001,51,9,1.8,7.2,Reject,-4.48,0.01,0.34,0.0229
