Participant ID,Trial,Total Pot,Individual Offer,Opponent Offer,Model Decision,Utility,Accept Probability,Expected Proportion
1001,1,12,1.2,10.8,Reject,-46.8,0.0,0.5
1001,2,15,5.25,9.75,Accept,0.75,0.68,0.38
1001,3,12,3.0,9.0,Reject,-11.52,0.0,0.37
1001,8,9,4.5,4.5,Accept,4.13,0.98,0.33
1001,9,9,2.25,6.75,Reject,-9.84,0.0,0.38
1001,12,15,6.0,9.0,Accept,5.79,1.0,0.34
1001,13,18,9.0,9.0,Accept,8.37,1.0,0.36
1001,15,9,2.25,6.75,Reject,-11.48,0.0,0.4
1001,17,12,2.4,9.6,Reject,-16.42,0.0,0.36
1001,18,18,5.4,12.6,Accept,3.64,0.97,0.31
1001,19,9,2.7,6.3,Accept,2.09,0.89,0.31
1001,20,15,5.25,9.75,Accept,5.08,0.99,0.3
1001,21,15,1.5,13.5,Reject,-31.25,0.0,0.32
1001,24,15,3.0,12.0,Reject,-4.93,0.01,0.25
1001,25,9,2.7,6.3,Accept,2.56,0.93,0.24
1001,26,15,5.25,9.75,Accept,4.9,0.99,0.26
1001,27,6,2.4,3.6,Accept,2.23,0.9,0.28
1001,28,9,3.6,5.4,Accept,3.42,0.97,0.32
1001,29,9,1.8,7.2,Reject,-11.09,0.0,0.34
1001,30,9,2.7,6.3,Accept,2.68,0.94,0.3
1001,31,9,4.5,4.5,Accept,4.05,0.98,0.3
1001,33,15,3.75,11.25,Reject,-12.77,0.0,0.36
1001,34,9,3.6,5.4,Accept,3.44,0.97,0.33
1001,35,6,1.2,4.8,Reject,-7.74,0.0,0.35
1001,36,12,4.2,7.8,Accept,4.06,0.98,0.3
1001,37,12,4.2,7.8,Accept,4.1,0.98,0.32
1001,38,15,6.0,9.0,Accept,5.73,1.0,0.33
1001,39,6,1.8,4.2,Accept,-1.16,0.24,0.35
1001,41,18,4.5,13.5,Reject,-10.71,0.0,0.33
1001,45,9,2.7,6.3,Reject,1.88,0.87,0.31
1001,46,15,1.5,13.5,Reject,-29.46,0.0,0.31
1001,47,15,5.25,9.75,Accept,4.85,0.99,0.24
1001,48,15,3.75,11.25,Accept,-0.17,0.46,0.28
1001,49,15,3.0,12.0,Reject,-7.25,0.0,0.27
1001,50,12,4.8,7.2,Accept,4.34,0.99,0.25
1001,51,9,1.8,7.2,Reject,-6.61,0.0,0.29
